,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,75,593,599,28309.4,29470.900000000016,87112.50000000109,0.041028774894558584,2023-04-09 20:00:00,2023-04-10 20:00:00,1 days 00:00:00
1,75,759,760,28933.1,28825.0,-8107.499999999891,-0.003736205245894797,2023-05-07 12:00:00,2023-05-07 16:00:00,0 days 04:00:00
2,75,917,918,27227.8,27132.0,-7184.999999999945,-0.0035184627476329,2023-06-02 20:00:00,2023-06-03 00:00:00,0 days 04:00:00
3,75,926,929,27190.9,27110.0,-6067.500000000109,-0.0029752601054029437,2023-06-04 08:00:00,2023-06-04 20:00:00,0 days 12:00:00
4,75,1160,1162,30530.6,31542.599999999988,75899.99999999919,0.03314707211780932,2023-07-13 08:00:00,2023-07-13 16:00:00,0 days 08:00:00
5,75,1316,1350,29428.0,29160.0,-20100.0,-0.009106972950931103,2023-08-08 08:00:00,2023-08-14 00:00:00,5 days 16:00:00
6,75,1351,1352,29410.5,29379.4,-2332.499999999891,-0.0010574454701551828,2023-08-14 04:00:00,2023-08-14 08:00:00,0 days 04:00:00
7,75,1623,1731,27012.3,29823.799999999996,210862.49999999974,0.10408221439862575,2023-09-28 12:00:00,2023-10-16 12:00:00,18 days 00:00:00
8,75,1925,1927,36621.9,36320.3,-22619.99999999989,-0.00823550935369266,2023-11-17 20:00:00,2023-11-18 04:00:00,0 days 08:00:00
9,75,1927,1942,36429.0,37594.0,87375.0,0.03198001592138122,2023-11-18 04:00:00,2023-11-20 16:00:00,2 days 12:00:00
10,75,1954,2024,37297.0,41926.000000000015,347175.0000000011,0.12411185886264353,2023-11-22 16:00:00,2023-12-04 08:00:00,11 days 16:00:00
11,75,2097,2099,42631.7,42255.6,-28207.49999999989,-0.008822073715099243,2023-12-16 12:00:00,2023-12-16 20:00:00,0 days 08:00:00
12,75,2518,2528,51590.0,51117.1,-35467.50000000011,-0.009166505136654401,2024-02-24 16:00:00,2024-02-26 08:00:00,1 days 16:00:00
13,75,3002,3004,62447.4,65250.399999999994,210224.99999999945,0.044885775868971134,2024-05-15 08:00:00,2024-05-15 16:00:00,0 days 08:00:00
14,75,3115,3141,68949.9,72032.89999999995,231224.99999999674,0.04471362540047141,2024-06-03 04:00:00,2024-06-07 12:00:00,4 days 08:00:00
15,75,3159,3162,70090.9,69255.1,-62684.99999999913,-0.01192451516530657,2024-06-10 12:00:00,2024-06-11 00:00:00,0 days 12:00:00
