,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,170,99,142,8784.05,9277.72,83923.90000000001,5.62007274548757,2020-04-30,2020-06-12,43 days
1,171,143,145,9458.77,9339.7,-20360.96999999995,-1.2588317508513192,2020-06-13,2020-06-15,2 days
2,169,146,149,9422.01,9381.99,-6763.380000000074,-0.4247501329334269,2020-06-16,2020-06-19,3 days
3,163,153,155,9686.99,9298.78,-63278.22999999986,-4.007540009848254,2020-06-23,2020-06-25,2 days
4,155,184,185,9604.41,9539.7,-10030.049999999865,-0.6737529947180465,2020-07-24,2020-07-25,1 days
5,152,186,226,9701.54,10141.4,66858.71999999981,4.533919357132987,2020-07-26,2020-09-04,40 days
6,134,272,372,11744.99,30382.96,2497487.98,158.6886834301264,2020-10-20,2021-01-28,100 days
7,159,373,429,33399.99,51325.21,2850109.98,53.668339421658516,2021-01-29,2021-03-26,56 days
8,174,430,453,55030.0,56140.05,193148.7000000005,2.017172451390148,2021-03-27,2021-04-19,23 days
9,167,473,474,58926.36,58292.53,-105849.61000000029,-1.075630668515759,2021-05-09,2021-05-10,1 days
10,246,553,598,39448.06,44860.83,1331541.420000001,13.721257775414063,2021-07-28,2021-09-11,45 days
11,249,602,607,47087.18,47256.92,42265.25999999949,0.3604802835931009,2021-09-15,2021-09-20,5 days
12,244,619,620,48123.93,47626.62,-121343.63999999943,-1.033394404821053,2021-10-02,2021-10-03,1 days
13,240,621,665,48187.99,60106.03,2860329.6,24.732386638247416,2021-10-04,2021-11-17,44 days
14,375,791,806,42349.9,43159.8,303712.5000000005,1.9124012099202226,2022-03-23,2022-04-07,15 days
15,773,1018,1022,21137.6,18533.9,-2012660.0999999978,-12.317860116569513,2022-11-05,2022-11-09,4 days
16,707,1087,1137,18838.1,22342.8,2477822.9000000004,18.604317845217942,2023-01-13,2023-03-04,50 days
17,706,1147,1186,24119.5,27252.6,2211968.599999999,12.989904434171518,2023-03-14,2023-04-22,39 days
18,720,1190,1196,28286.7,28054.5,-167184.00000000052,-0.8208804844679674,2023-04-26,2023-05-02,6 days
19,702,1197,1202,28656.4,28419.5,-166303.80000000104,-0.8266914197177622,2023-05-03,2023-05-08,5 days
20,662,1247,1280,29988.5,29163.8,-545951.4000000005,-2.750054187438522,2023-06-22,2023-07-25,33 days
21,668,1364,1452,28486.3,42789.0,9554203.6,50.20904785809319,2023-10-17,2024-01-13,88 days
22,753,1478,1543,44326.3,67136.4,17176005.299999993,51.45951726176106,2024-02-08,2024-04-13,65 days
23,827,1581,1584,71466.5,67999.9,-2866878.200000005,-4.850664297258167,2024-05-21,2024-05-24,3 days
24,791,1586,1587,69314.5,68524.4,-624969.1000000046,-1.139876937725881,2024-05-26,2024-05-27,1 days
25,776,1588,1590,69461.5,67686.8,-1377167.1999999979,-2.5549405066115694,2024-05-28,2024-05-30,2 days
26,752,1595,1603,68851.3,67320.6,-1151086.3999999978,-2.223196947624806,2024-06-04,2024-06-12,8 days
